,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,46sdzf3zdg1dxg2.us,20190410,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0
1,rilibiao.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
2,osdn.net,20190410,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0
3,388g.com,20190410,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,1,0,0,0,0,0,0,0
4,hanvon.com,20190410,0,0,0,0,0,0,0,0,0,4,0,5,1,0,0,0,0,3,0,0,0,0,0,0
5,cibn.cc,20190410,0,0,0,0,0,0,0,0,18,77,0,0,0,2,0,18,0,0,0,0,0,0,0,0
6,liangchan.net,20190410,0,0,0,0,0,0,0,0,3,0,14,1,0,0,0,0,0,0,0,0,0,0,9,0
7,ufileos.com,20190410,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,3,0,4,0
8,5ibrz.com,20190410,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,5,0,0,0
9,qswzayy.com,20190410,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,3,0,0,0,2,0,0,0,0
10,shreeramworld.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11,chickenkiller.com,20190410,0,0,0,0,0,0,0,0,8,0,0,3,0,0,4,0,0,0,0,0,0,0,0,6
12,menww.com,20190410,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,6,8,0,0,0
13,ad-lionmobi.com,20190410,0,0,0,0,0,0,0,0,3,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0
14,tsdm.me,20190410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,8684.cn,20190410,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,6,0,0,0
16,72zx.com,20190410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,rutracker.cc,20190410,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
18,win8.net,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0
19,yy845.com,20190410,0,0,0,0,0,0,0,0,0,3,0,11,0,0,1,0,3,0,0,1,0,0,0,0
20,jdhyjf.com,20190410,0,0,0,0,0,0,0,0,22,11,10,0,3,0,0,0,0,0,0,0,0,0,0,0
21,9xiu.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,31,0,0,0,0,0,1
22,szprize.cn,20190410,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,weebly.com,20190410,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,2,0
24,6071.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
25,persiangig.com,20190410,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,btzoo.eu,20190410,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,1,1
