,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,mafengwo.cn,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
52,xiaohongshu.com,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0
53,qy.net,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0
54,yy.com,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
55,godaddy.com,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
56,youth.cn,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
57,cnblogs.com,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
58,pptv.com,20180411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
59,adidas.com,20190411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0
60,juejin.im,20190411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,dropbox.com,20190411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,chess.com,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,4,0,0,43,0,0,0,0
63,w3cschool.cn,20190410,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
64,wanfangdata.com.cn,20190410,0,0,0,0,0,0,0,0,0,0,4964,3216,1176,1707,2204,4852,3379,3054,3066,3499,3973,2629,2518,1714
65,xinhuanet.com,20190410,0,0,0,0,0,0,0,0,0,0,4784,2990,2212,3934,4822,2495,2172,2172,2380,2732,4253,6181,2343,2874
66,xiaohongshu.com,20190410,0,0,0,0,0,0,0,0,0,0,6701,9085,8299,12091,8215,8716,9355,8136,6384,6300,7654,5215,8311,14891
67,jianguoyun.com,20190410,0,0,0,0,0,0,0,0,0,0,6029,6358,5211,6659,5832,6882,6644,6745,6607,6605,6691,6232,7176,5828
68,miwifi.com,20190410,0,0,0,0,0,0,0,0,0,0,4419,4912,4419,5101,4066,4577,4298,4671,5219,5669,5130,4645,5104,5426
69,ximalaya.com,20190410,0,0,0,0,0,0,0,0,0,0,2349,3281,4520,6480,3614,3683,2596,2447,4158,3182,3333,3200,5055,5556
70,frdic.com,20190410,0,0,0,0,0,0,0,0,0,0,1421,808,1044,761,1317,1370,1298,1341,1044,1797,2743,2127,1427,1100
71,youdao.com,20190410,0,0,0,0,0,0,0,0,0,0,60941,47424,19126,27166,38920,62758,59049,45380,30026,47761,57396,54852,45057,34784
