,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
448,dropbox.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,11,33.2988603028468,0,0.0,0,2,0.6363636363636364,8728.0,8728.0,724.0,0
449,cnki.net,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,8,22.0,0,0.0,0,2,0.625,7349.0,7349.0,266.0,0
450,fatosdesconhecidos.com.br,0,0,0,0.0,0.0,,,,,25,92.58662974004118,0,0.0,0,1,0.92,,,,0
451,thestartmagazine.com,0,0,0,0.0,0.0,,,,,20,72.92878689342031,0,0.0,0,4,0.4,888.0,888.0,57.0,0
452,jumei.com,0,0,0,0.0,0.0,1.0,11.0,0.0,3.347424786537339,9,26.52932501298081,0,0.0,0,3,0.4444444444444444,4857.0,4857.0,311.0,0
453,dict.cc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.896596952239767,0,0.0,0,2,0.5714285714285714,6197.0,6197.0,48.0,0
454,blockchain.info,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,50.603358934127776,0,0.0,0,3,0.3333333333333333,2774.0,2774.0,246.0,0
455,credit-agricole.fr,0,0,0,0.0,0.0,,,,,18,64.30376252379817,0,0.0,0,3,0.4444444444444444,0.0,31.0,0.0,0
456,secure-surf.net,0,0,0,0.0,0.0,,,,,15,47.84847143196429,0,0.0,0,2,0.4666666666666667,886.0,886.0,534.0,0
457,otvfoco.com.br,0,0,0,0.0,0.0,,,,,14,41.30296890880647,0,0.0,0,4,0.2857142857142857,,,,0
458,yhd.com,0,0,0,0.0,0.0,3.0,3.6666666666666665,1.247219128924647,0.6506458832901058,7,19.651484454403235,0,0.0,0,2,0.5714285714285714,7200.0,7200.0,1817.0,0
