,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
0,dothome.co.kr,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,13,41.350828833670725,0,0.0,0,4,0.3076923076923077,,,,1
1,gotoip55.com,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,12,36.26466250649041,2,0.16666666666666666,1,4,0.25,3301.0,3301.0,393.0,1
2,yiwanzhushou.com,9,5,0,0.6931267214285649,0.4181656600790516,2.0,2.0,0.0,0.0,16,58.0,0,0.0,0,1,0.9375,1580.0,1580.0,194.0,1
3,bittor.pw,1,1,7,0.0,0.0,2.0,2.0,0.0,0.0,9,26.52932501298081,0,0.0,0,3,0.3333333333333333,814.0,814.0,450.0,1
4,xdcdn.net,29,5,49,0.610354284156758,0.8277293767706428,5.0,3.6,1.2,0.19956459877641225,9,24.52932501298081,0,0.0,0,3,0.3333333333333333,3418.0,3418.0,161.0,1
5,uuserv70.com,2,8,4,0.0,0.0,5.0,2.8,0.7483314773547882,0.4046322403776009,12,41.019550008653866,2,0.16666666666666666,1,4,0.3333333333333333,530.0,530.0,174.0,1
6,mg64.net,1,0,0,0.0,0.0,1.0,2.0,0.0,3.7527767497325684,8,24.0,2,0.25,1,2,0.375,2992.0,2992.0,465.0,1
7,uuserv70.net,2,8,4,0.0,0.0,5.0,3.0,0.6324555320336759,0.6758259641441672,12,39.01955000865389,2,0.16666666666666666,1,4,0.3333333333333333,530.0,530.0,174.0,1
8,vnu.edu.vn,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10,25.21928094887362,0,0.0,0,3,0.3,,,,1
9,jsyxw.cn,3,13,15,1.0,0.350157791839107,4.0,2.25,0.4330127018922193,0.4298229503119689,8,24.0,0,0.0,0,3,0.375,,,,1
10,smartgslb.com,5,9,7,0.8277293767706428,0.7632300273809491,4.0,3.25,1.299038105676658,0.9592461427773372,13,44.10571633583419,0,0.0,0,3,0.38461538461538464,2559.0,2559.0,103.0,1
11,pcfreetime.com,4,4,2,0.5,0.75,3.0,4.666666666666667,1.699673171197595,0.685008895743605,14,44.548081406643,0,0.0,0,4,0.2857142857142857,3735.0,3735.0,368.0,1
12,newasp.net,48,3,254,0.6533261676721671,0.5793801642856949,5.0,3.0,1.5491933384829668,0.7570635388187323,10,29.21928094887362,0,0.0,0,3,0.3,5565.0,5565.0,92.0,1
13,gotoip2.com,4,4,0,0.75,1.0,1.0,2.0,0.0,3.7527767497325684,11,33.2988603028468,1,0.09090909090909093,1,4,0.2727272727272727,3416.0,3416.0,144.0,1
14,bangwo8.net,5,1,0,0.31091750708257115,0.0,4.0,2.0,0.0,5.551115123125783e-17,11,36.05374780501027,1,0.09090909090909093,1,3,0.3636363636363637,3133.0,3133.0,393.0,1
15,survey-smiles.com,7,0,0,0.4911325898456827,0.0,1.0,3.0,0.0,7.309645227297023,17,60.73198079909232,0,0.0,0,3,0.4117647058823529,330.0,330.0,298.0,1
16,promlinkdev.com,7,0,19,0.7964530359382729,0.0,2.0,3.0,0.0,0.33788509383665866,15,54.60335893412777,0,0.0,0,4,0.26666666666666666,296.0,296.0,163.0,1
17,xzw.com,9,5,31,0.8597933880952316,0.6554587535412855,3.0,3.0,0.8164965809277259,-0.03073265784519737,7,19.651484454403235,0,0.0,0,3,0.42857142857142855,7071.0,7071.0,1390.0,1
18,ytjdl.com,1,1,0,0.0,0.0,2.0,2.0,0.0,0.0,9,28.52932501298081,0,0.0,0,3,0.3333333333333333,1220.0,1220.0,543.0,1
19,ccleaner.com,5,1,0,0.0,0.0,2.0,8.5,0.5,0.8109267821663109,12,36.26466250649041,0,0.0,0,2,0.6666666666666666,5483.0,5483.0,505.0,1
20,pc6.com,50,29,284,0.7881787363075838,0.5125615542758055,2.0,7.0,2.0,1.9068565831836355,7,17.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855,7389.0,7389.0,116.0,1
21,wasu.cn,87,12,299,0.6630919840639443,0.7210570543488701,2.0,2.0,0.0,0.0,7,19.651484454403235,0,0.0,0,2,0.42857142857142855,,,,1
22,ibzu.me,1,1,7,0.0,0.0,2.0,2.0,0.0,0.0,7,19.651484454403235,0,0.0,0,3,0.42857142857142855,1082.0,1082.0,359.0,1
23,webcindario.com,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15,52.603358934127776,0,0.0,0,2,0.7333333333333333,6653.0,6653.0,450.0,1
24,pdf00.cn,7,4,113,0.7964530359382729,1.0,2.0,2.0,0.0,0.0,8,22.0,2,0.25,1,2,0.375,,,,1
25,035x.com,1,2,0,0.0,1.0,5.0,2.8,0.7483314773547882,0.3883785357964512,8,24.0,3,0.375,1,1,0.5,2295.0,2295.0,36.0,1
26,liangchan.net,2,2,0,1.0,1.0,5.0,2.4,0.4898979485566356,0.3139811216068109,13,41.350828833670725,0,0.0,0,3,0.38461538461538464,3666.0,3666.0,39.0,1
27,makesource.cool,7,0,19,0.7964530359382729,0.0,3.0,3.6666666666666665,2.3570226039551585,1.1135068713349765,15,49.84847143196431,0,0.0,0,3,0.4,221.0,221.0,163.0,1
28,52e9.com,10,4,31,0.9397940008672035,0.75,4.0,3.0,1.224744871391589,0.38454111805000657,8,24.0,3,0.375,2,2,0.375,1258.0,1258.0,172.0,1
29,trackerfix.com,1,1,0,0.0,0.0,2.0,2.0,0.0,0.0,14,49.30296890880647,0,0.0,0,3,0.5,2164.0,2164.0,346.0,1
30,hao76.com,2,2,5,1.0,1.0,1.0,2.0,0.0,3.2258958354055234,9,26.52932501298081,2,0.2222222222222222,1,2,0.3333333333333333,3061.0,3061.0,149.0,1
31,spark-rostov.ru,1,0,0,0.0,0.0,1.0,2.0,0.0,3.7527767497325684,15,49.84847143196431,0,0.0,0,3,0.4,,,,1
32,ipify.org,9,1,0,0.9298966940476155,0.0,2.0,2.0,0.0,0.0,9,26.52932501298081,0,0.0,0,4,0.3333333333333333,1959.0,1959.0,437.0,1
33,meiriyixue.cn,1,1,0,0.0,0.0,5.0,2.0,0.0,0.22327675063613608,13,41.350828833670725,0,0.0,0,1,0.9230769230769232,,,,1
34,koowo.com,20,6,0,0.8061642034028317,0.8710490642551527,2.0,2.0,0.0,0.0,9,20.529325012980813,0,0.0,0,3,0.3333333333333333,5031.0,5031.0,439.0,1
35,photios-raj.com,8,2,0,1.0,0.0,4.0,2.0,0.0,-5.551115123125783e-17,15,53.84847143196429,0,0.0,0,3,0.4666666666666667,207.0,207.0,207.0,1
36,sucaijishi.com,1,1,0,0.0,0.0,4.0,2.5,0.5,-5.551115123125783e-17,14,44.548081406643,0,0.0,0,4,0.35714285714285715,2239.0,2239.0,410.0,1
37,u33.cc,1,2,0,0.0,0.0,4.0,2.5,0.5,0.2679097205675045,6,11.509775004326935,2,0.3333333333333333,1,2,0.3333333333333333,2918.0,2918.0,390.0,1
38,vpgcdn.com,20,4,196,0.4560350267710863,0.4056390622295664,2.0,7.5,1.5,2.6153996157210475,10,31.21928094887362,0,0.0,0,3,0.3,1473.0,1473.0,64.0,1
39,qingclass.cc,4,1,98,0.5,0.0,4.0,2.0,0.0,1.0622957319984967,12,36.264662506490396,0,0.0,0,3,0.4166666666666667,684.0,684.0,346.0,1
40,qupeiyin.com,206,1,128,0.8762618094191731,0.0,1.0,10.0,0.0,4.311858076378977,12,41.01955000865389,0,0.0,0,4,0.3333333333333333,1614.0,1614.0,548.0,1
41,hostgator.com,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,13,41.350828833670725,0,0.0,0,2,0.6923076923076923,6052.0,6052.0,1403.0,1
42,91danji.com,5,5,7,0.5904362833084089,0.8277293767706428,4.0,2.0,0.0,0.8417693160215265,11,38.05374780501027,2,0.18181818181818185,1,3,0.2727272727272727,3630.0,3630.0,1502.0,1
43,jianbaimei.com,3,1,0,0.0,0.0,2.0,5.0,0.0,1.7579040636643954,14,44.548081406643,0,0.0,0,4,0.2857142857142857,1707.0,1707.0,251.0,1
44,80s.la,1,3,0,0.0,1.0,3.0,3.333333333333333,0.4714045207910317,1.3892682533262313,6,15.509775004326935,2,0.3333333333333333,1,1,0.5,2817.0,2817.0,54.0,1
45,mobileanjian.com,16,5,107,0.9375,0.4181656600790516,2.0,5.0,3.0,1.1875570726663711,16,54.0,0,0.0,0,4,0.375,1576.0,1576.0,155.0,1
46,6sq.net,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7,19.651484454403235,1,0.14285714285714285,1,2,0.42857142857142855,6019.0,6019.0,6019.0,1
47,xuanwu88.com,16,4,0,0.22400955813363935,0.75,2.0,2.0,0.0,0.0,12,39.019550008653866,2,0.16666666666666666,1,3,0.3333333333333333,616.0,616.0,165.0,1
48,52pcgame.net,2,1,0,0.0,0.0,2.0,2.0,0.0,0.0,12,41.019550008653866,2,0.16666666666666666,1,3,0.3333333333333333,2028.0,2028.0,1082.0,1
49,fireemblem.net,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,14,43.30296890880647,0,0.0,0,3,0.42857142857142855,6161.0,6161.0,320.0,1
50,8684.cn,6,13,0,0.8710490642551527,0.7607399726889995,2.0,4.0,0.0,2.02734299503647,7,17.651484454403235,4,0.5714285714285714,1,1,0.2857142857142857,,,,1
51,sowcar.com,4,0,0,0.5,0.0,6.0,2.833333333333333,0.8975274678557507,-0.17925936653467525,10,29.21928094887362,0,0.0,0,3,0.3,331.0,331.0,331.0,1
52,xigua.com,2,3,0,1.0,1.0,0.0,0.0,0.0,0.0,9,28.52932501298081,0,0.0,0,3,0.3333333333333333,6033.0,6033.0,1071.0,1
53,klm123.com,9,5,55,0.5229596049593027,0.5904362833084089,4.0,2.0,0.0,0.9932446170205748,10,31.21928094887362,3,0.3,1,2,0.3,739.0,739.0,39.0,1
54,zmeng123.com,15,6,49,0.8976167900760738,0.8710490642551529,2.0,2.0,0.0,0.0,12,41.019550008653866,3,0.25,1,3,0.3333333333333333,2244.0,2244.0,82.0,1
55,runclickrun.com,1,0,0,0.0,0.0,1.0,2.0,0.0,4.766031238193982,15,47.84847143196429,0,0.0,0,4,0.3333333333333333,424.0,424.0,64.0,1
56,parkingcrew.net,2,1,1,0.0,0.0,4.0,2.25,0.4330127018922193,0.6103293858627887,15,52.603358934127776,0,0.0,0,3,0.4666666666666667,3036.0,3036.0,64.0,1
57,tyread.com,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10,33.219280948873624,0,0.0,0,2,0.5,2292.0,2292.0,110.0,1
58,daheit.cc,2,1,0,1.0,0.0,4.0,3.25,0.82915619758885,0.2219011686885184,9,26.52932501298081,0,0.0,0,4,0.2222222222222222,127.0,127.0,122.0,1
59,lce9v.com,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,9,26.52932501298081,1,0.1111111111111111,1,2,0.4444444444444444,1045.0,1045.0,342.0,1
60,ctags.cn,6,6,0,0.7420981285103055,0.4841962570206112,3.0,4.666666666666667,3.0912061651652345,0.19657897314546846,8,22.0,0,0.0,0,2,0.625,,,,1
61,upantool.com,53,2,100,0.4961189530270666,1.0,3.0,3.333333333333333,1.247219128924647,0.5602108273160838,12,38.26466250649041,0,0.0,0,4,0.3333333333333333,3313.0,3313.0,221.0,1
62,cnkang.com,6,5,7,0.25146299858006066,0.8277293767706428,4.0,2.5,0.8660254037844386,1.2364059124622753,10,29.21928094887362,0,0.0,0,3,0.4,4671.0,4671.0,647.0,1
63,hopto.org,2,2,0,1.0,1.0,3.0,2.0,0.0,0.7631757831493756,9,23.774437510817343,0,0.0,0,3,0.3333333333333333,7030.0,7030.0,837.0,1
64,made-in-china.com,4,3,0,0.75,0.5793801642856949,4.0,2.25,0.4330127018922193,0.35716442308938456,17,57.48686830125578,0,0.0,0,4,0.29411764705882354,7749.0,7749.0,122.0,1
65,srvvtrk.com,3,0,0,0.5793801642856949,0.0,3.0,4.666666666666667,3.0912061651652345,0.407181858585252,11,34.05374780501027,0,0.0,0,4,0.2727272727272727,593.0,593.0,227.0,1
66,minisrclink.cool,7,0,19,0.7964530359382729,0.0,0.0,0.0,0.0,0.0,16,51.24511249783653,0,0.0,0,4,0.25,221.0,221.0,163.0,1
67,fionades.com,1,0,0,0.0,0.0,3.0,4.666666666666667,2.3570226039551585,1.3743640397022638,12,41.019550008653866,0,0.0,0,3,0.4166666666666667,912.0,912.0,183.0,1
68,ztcadx.com,18,3,94,0.21923244137940415,1.0,2.0,7.0,3.0,1.1614070405244779,10,31.21928094887362,0,0.0,0,3,0.4,1983.0,1983.0,171.0,1
69,pornolab.net,4,1,0,0.75,0.0,3.0,2.0,0.0,0.6008882359774396,12,39.01955000865389,0,0.0,0,2,0.5,4056.0,4056.0,38.0,1
70,testrequest.info,2,5,0,1.0,0.31091750708257115,2.0,3.0,0.0,0.0,16,52.49022499567307,0,0.0,0,3,0.4375,1383.0,1383.0,681.0,1
71,ichaichuan.com,1,2,0,0.0,1.0,3.0,5.0,2.943920288775949,0.9132684967424852,14,42.548081406643,0,0.0,0,4,0.35714285714285715,1346.0,1346.0,248.0,1
72,dynamodule.info,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,52.60335893412776,0,0.0,0,2,0.6666666666666666,1209.0,1209.0,87.0,1
73,com.com,3,4,2,1.0,1.0,3.0,2.0,0.0,0.6417112842390166,7,13.651484454403233,0,0.0,0,1,0.8571428571428571,8801.0,8801.0,1562.0,1
74,dfshurufa.com,14,15,62,0.6179475854067156,0.6799690692943963,2.0,2.0,0.0,0.0,13,44.10571633583421,0,0.0,0,4,0.3076923076923077,1695.0,1695.0,171.0,1
75,kousou.cc,1,1,0,0.0,0.0,1.0,3.0,0.0,3.1120323319491483,9,22.52932501298081,0,0.0,0,3,0.3333333333333333,309.0,309.0,221.0,1
76,ywtx.cc,2,3,0,0.0,0.5793801642856949,1.0,4.0,0.0,4.311467536648305,7,17.65148445440323,0,0.0,0,3,0.2857142857142857,2604.0,2604.0,79.0,1
77,myaora.net,13,4,84,0.5112893686022428,0.4056390622295664,2.0,2.0,0.0,0.0,10,31.21928094887362,0,0.0,0,4,0.3,3315.0,3315.0,46.0,1
78,198174.com,7,6,61,0.656265789089031,0.25146299858006066,3.0,3.333333333333333,1.247219128924647,0.8821272050246236,10,31.21928094887362,6,0.6,1,1,0.3,1291.0,1291.0,200.0,1
79,maxthonimg.com,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,14,46.548081406643,0,0.0,0,3,0.5,2722.0,2722.0,116.0,1
80,reyesleon.xyz,1,2,0,0.0,1.0,2.0,2.0,0.0,0.0,13,41.350828833670725,0,0.0,0,3,0.38461538461538464,,,,1
81,kankanshu.cc,3,2,0,0.5793801642856949,1.0,4.0,4.75,1.299038105676658,0.5200249617972638,12,35.01955000865388,0,0.0,0,3,0.4166666666666667,262.0,262.0,59.0,1
82,skynetcloud.tk,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,49.30296890880647,0,0.0,0,3,0.42857142857142855,,,,1
83,geilicdn.com,11,1,52,0.6122619097133767,0.0,4.0,3.5,0.5,1.1102230246251563e-16,12,39.01955000865389,0,0.0,0,4,0.3333333333333333,2895.0,2895.0,348.0,1
84,xiepp.cc,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,8,20.0,0,0.0,0,2,0.5,980.0,980.0,548.0,1
85,000o.cc,1,0,0,0.0,0.0,1.0,2.0,0.0,5.790660241435861,7,12.89659695223976,3,0.42857142857142855,1,1,0.42857142857142855,982.0,982.0,274.0,1
86,tujingdy.com,2,1,0,1.0,0.0,2.0,2.0,0.0,0.0,12,43.01955000865387,0,0.0,0,4,0.3333333333333333,240.0,240.0,222.0,1
87,veoh.com,1,1,0,0.0,0.0,2.0,2.0,0.0,0.0,8,22.0,0,0.0,0,2,0.5,5076.0,5076.0,328.0,1
88,acentsd.com,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,11,36.05374780501027,0,0.0,0,3,0.4545454545454545,871.0,871.0,253.0,1
89,lvsetxt.com,2,1,0,0.0,0.0,2.0,2.0,0.0,0.0,11,36.05374780501027,0,0.0,0,4,0.2727272727272727,3853.0,3853.0,51.0,1
90,teens-pusses.ru,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,43.84847143196431,0,0.0,0,3,0.4,,,,1
91,osdn.net,1,0,0,0.0,0.0,4.0,2.0,0.0,0.0,8,22.0,0,0.0,0,2,0.5,6203.0,6203.0,375.0,1
92,yy6080.cn,2,3,0,1.0,0.5793801642856949,4.0,2.5,0.8660254037844386,0.808596955008695,9,24.52932501298081,4,0.4444444444444444,1,2,0.2222222222222222,,,,1
93,zjnu.edu.cn,5,16,0,0.5904362833084089,0.3754036179525455,4.0,2.0,0.0,-1.1102230246251563e-16,11,32.05374780501027,0,0.0,0,1,0.8181818181818182,,,,1
