,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
322,woaoo.net,2,5.5,2.5,0.7370503621713704,1
323,ys168.com,3,5.333333333333333,2.6246692913372702,1.8297669457395624,1
324,ctags.cn,3,4.666666666666667,3.0912061651652345,0.19657897314546843,1
325,w3.org,1,13.0,0.0,3.0894381766135943,1
326,vpgcdn.com,2,7.5,1.5,2.6153996157210475,1
327,zyiis.net,1,11.0,0.0,2.859787774534703,1
328,sgshurufa.com,3,4.0,0.816496580927726,1.1258934911938983,1
329,qqtn.com,3,4.0,2.160246899469287,0.7417076299549126,1
330,wasu.cn,2,2.0,0.0,0.0,1
331,xyimg.net,3,5.333333333333333,2.6246692913372702,0.9361990918538122,1
332,hivps.xyz,3,3.0,0.0,0.7945470964798185,1
333,tjj.com,2,2.0,0.0,0.0,1
334,maccms.com,4,4.5,2.692582403567252,0.5076330679377108,1
335,mting.info,3,6.333333333333333,2.494438257849294,1.0494344109586038,1
336,domobcdn.com,2,2.0,0.0,0.0,1
337,zampdsp.com,3,4.666666666666667,1.247219128924647,1.2516316689543328,1
338,cedexis.com,4,3.75,1.920286436967152,1.4018544329835425,1
339,anzhi.com,3,4.666666666666667,1.699673171197595,1.1172340189119896,1
340,pc0359.cn,4,3.75,0.82915619758885,0.7715269787435578,1
341,cncrk.com,6,2.6666666666666665,0.4714045207910317,0.6163225838321557,1
342,dp9888.com,4,3.25,1.6393596310755,0.7114506462081147,1
343,upeer.me,1,14.0,0.0,3.3250185384032056,1
344,uw0.xyz,1,10.0,0.0,2.903235291730828,1
345,50zera.com,2,4.0,1.0,1.3244435405865405,1
346,corp3g.cn,1,11.0,0.0,2.7833912937692107,1
347,uuserv70.com,5,2.8,0.7483314773547882,0.4046322403776009,1
348,upantool.com,3,3.3333333333333335,1.247219128924647,0.5602108273160838,1
349,xueyanshan.com,4,3.5,1.5,0.6488298438511364,1
350,baidu.co.th,1,15.0,0.0,3.832385211908469,1
351,lwtxt.cc,4,3.75,0.4330127018922193,0.6339062994576158,1
352,sdg-china.com,6,2.8333333333333335,0.3726779962499649,0.37256537125811945,1
353,sticker.la,2,6.5,2.5,1.6271314310163612,1
354,h4ck.me,2,2.0,0.0,0.0,1
355,ztcadx.com,2,7.0,3.0,1.161407040524478,1
356,wacai.com,2,7.0,0.0,0.6023194662786905,1
357,123juzi.net,2,2.0,0.0,0.0,1
358,huatu.com,2,7.5,1.5,2.1112564858016682,1
359,xunleige.com,3,4.0,1.632993161855452,1.002097309440724,1
360,webcompanion.com,2,7.5,2.5,1.036541085466732,1
361,appchina.com,2,4.5,1.5,0.3682601926653707,1
362,libplayer.com,4,2.75,0.82915619758885,0.12883442526434868,1
363,jianbaimei.com,2,5.0,0.0,1.7579040636643954,1
364,uniplayad.com,3,4.333333333333333,3.299831645537222,0.99733439507495,1
365,02wq.com,2,2.0,0.0,0.0,1
366,lotour.net,2,2.0,0.0,0.0,1
367,aralego.com,3,4.333333333333333,1.699673171197595,0.7369850231306762,1
368,yx-g.com,2,2.0,0.0,0.0,1
369,kuaizip.com,4,2.5,0.5,0.5194849263030702,1
370,kaopu001.com,1,12.0,0.0,4.392087645414755,1
371,uuserv70.net,5,3.0,0.6324555320336759,0.6758259641441672,1
372,cdn321.com,3,4.0,2.160246899469287,1.2224986706039072,1
373,xzw.com,3,3.0,0.816496580927726,-0.03073265784519737,1
374,hyz86.com,2,2.0,0.0,0.0,1
375,xsfaya.com,3,6.0,2.160246899469287,0.9152206651837477,1
376,ichaichuan.com,3,5.0,2.943920288775949,0.9132684967424853,1
377,icanhazip.com,2,3.5,0.5,1.26302044323781,1
378,uzzf.com,3,5.333333333333333,2.6246692913372702,1.0962547994105518,1
379,crsky.com,3,5.333333333333333,2.6246692913372702,0.7888874037010564,1
380,kankanshu.cc,4,4.75,1.299038105676658,0.5200249617972638,1
381,wyjsq.cn,2,2.0,0.0,0.0,1
382,198174.com,3,3.3333333333333335,1.247219128924647,0.8821272050246236,1
383,xitongzhijia.net,3,4.666666666666667,0.9428090415820634,0.5386050630488443,1
384,xinshiye.cc,4,2.25,0.4330127018922193,0.5421789666133463,1
385,qupeiyin.com,1,10.0,0.0,4.311858076378977,1
386,hinet.net,3,4.333333333333333,1.247219128924647,1.5108939922958793,1
387,avg.com,2,4.0,2.0,1.9374599431343822,1
388,cr173.com,3,4.666666666666667,0.9428090415820634,1.4667205003767385,1
389,viidii.info,5,2.6,0.4898979485566356,0.3017255734714791,1
390,fwxgx.com,3,5.0,0.816496580927726,0.593099444632481,1
391,pengpengla.com,3,4.666666666666667,2.0548046676563256,1.4327805181848108,1
392,dreamsearch.or.kr,2,6.0,0.0,-2.220446049250313e-16,1
393,itunes.com,4,3.25,0.82915619758885,1.0946294117593987,1
394,pptjia.com,2,7.0,4.0,1.7839173039251852,1
395,pornhub.com,7,2.4285714285714284,0.49487165930539345,0.36009538532366386,1
396,sowcar.com,6,2.8333333333333335,0.8975274678557507,-0.17925936653467525,1
397,sastind.gov.cn,5,2.4,0.4898979485566356,0.21873866003437592,1
398,tiepishihu.com,1,7.0,0.0,4.0648061614432445,1
399,3ds.com,3,3.6666666666666665,1.699673171197595,0.6464523077140694,1
400,136156.com,3,3.0,1.4142135623730951,0.7394962988959217,1
401,52e9.com,4,3.0,1.224744871391589,0.38454111805000657,1
402,99lb.net,3,4.333333333333333,3.299831645537222,1.069163910842905,1
403,035x.com,5,2.8,0.7483314773547882,0.3883785357964512,1
404,coolauncher.com.cn,2,2.0,0.0,0.0,1
405,97pd.com,4,2.5,0.5,0.9501715664356073,1
406,16pic.com,4,3.75,1.299038105676658,0.8591392178613227,1
407,3wk.cc,2,4.0,0.0,0.11632766130119832,1
408,smartgslb.com,4,3.25,1.299038105676658,0.9592461427773372,1
409,geilicdn.com,4,3.5,0.5,1.1102230246251565e-16,1
410,5idzc.com,4,2.75,0.4330127018922193,1.234100318386492,1
411,yy6080.cn,4,2.5,0.8660254037844386,0.808596955008695,1
412,clientsolutions.cn,2,4.0,2.0,1.8936480594560223,1
413,gezila.com,4,3.25,1.0897247358851685,1.2145746886620326,1
414,bytefence.com,3,4.333333333333333,0.9428090415820634,1.0131271414593768,1
415,17c.cn,5,2.6,0.4898979485566356,0.3435535198116658,1
416,sdbeta.com,2,2.5,0.5,2.045121491517774,1
417,trafficforce.com,2,2.0,0.0,0.0,1
418,z8q.cc,1,2.0,0.0,4.161198597819119,1
419,51xiazai.cn,1,3.0,0.0,3.685811851304327,1
420,x4w.co,3,4.333333333333333,1.8856180831641267,0.3210008645049274,1
421,dakao8.com,6,2.5,0.7637626158259734,0.5212648276415318,1
422,adbyby.com,1,2.0,0.0,3.45471102244277,1
423,51edu.com,1,2.0,0.0,3.752776749732568,1
424,91leku.com,2,2.0,0.0,0.0,1
