,domain,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio
0,mmofreegames.online,19,63.955735253264656,0,0.0,0,4,0.3157894736842105
1,qy.net,6,15.509775004326936,0,0.0,0,2,0.5
2,duckduckgo.com,14,40.548081406643,0,0.0,0,3,0.35714285714285715
3,nationalgeographic.com,22,80.5977206056936,0,0.0,0,3,0.45454545454545453
4,drudgereport.com,16,53.24511249783653,0,0.0,0,1,0.9375
5,fatosdesconhecidos.com.br,25,92.58662974004118,0,0.0,0,1,0.92
6,githubusercontent.com,21,77.4837783761905,0,0.0,0,5,0.3333333333333333
7,hamariweb.com,13,44.10571633583419,0,0.0,0,3,0.46153846153846156
8,telegraf.com.ua,15,52.60335893412777,0,0.0,0,4,0.26666666666666666
9,jquery.com,10,33.219280948873624,0,0.0,0,3,0.5
10,usatoday.com,12,39.01955000865388,0,0.0,0,1,0.9166666666666666
11,gotomeeting.com,15,45.848471431964306,0,0.0,0,2,0.7333333333333333
12,uniqlo.com,10,31.21928094887362,0,0.0,0,2,0.6
13,google.by,9,24.529325012980813,0,0.0,0,2,0.6666666666666666
14,mlb.com,7,17.651484454403235,0,0.0,0,1,0.8571428571428571
15,asahi.com,9,26.529325012980813,0,0.0,0,2,0.5555555555555556
16,hola.com,8,22.0,0,0.0,0,2,0.5
17,zcool.com.cn,12,31.50977500432694,0,0.0,0,4,0.3333333333333333
18,torrent9.cc,11,32.05374780501027,1,0.09090909090909091,1,2,0.6363636363636364
19,hotpepper.jp,12,33.01955000865388,0,0.0,0,3,0.5
20,google.ca,9,24.529325012980813,0,0.0,0,1,0.8888888888888888
21,doublepimp.com,14,47.30296890880647,0,0.0,0,3,0.42857142857142855
22,gamefaqs.com,12,39.01955000865388,0,0.0,0,1,0.9166666666666666
23,indeed.co.uk,12,37.01955000865387,0,0.0,0,3,0.5
24,mediaset.it,11,32.05374780501027,0,0.0,0,3,0.45454545454545453
25,hotmovs.com,11,31.298860302846798,0,0.0,0,3,0.36363636363636365
26,vesti.ru,8,24.0,0,0.0,0,2,0.5
27,ctrip.com,9,26.529325012980813,0,0.0,0,3,0.4444444444444444
28,clixsense.com,13,42.105716335834195,0,0.0,0,3,0.38461538461538464
29,so.com,6,13.509775004326936,0,0.0,0,1,0.8333333333333334
30,telegraph.co.uk,15,54.603358934127776,0,0.0,0,3,0.6
31,pptv.com,8,22.0,0,0.0,0,2,0.5
32,ninisite.com,12,36.26466250649041,0,0.0,0,3,0.3333333333333333
33,google.com.do,13,36.105716335834195,0,0.0,0,2,0.6923076923076923
34,softonic.com,12,36.26466250649041,0,0.0,0,2,0.6666666666666666
35,shimo.im,8,20.0,0,0.0,0,2,0.625
36,likemag.com,11,36.05374780501027,0,0.0,0,2,0.5454545454545454
37,dzwww.com,9,23.774437510817343,0,0.0,0,2,0.6666666666666666
38,cqvip.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
39,zdic.net,8,24.0,0,0.0,0,3,0.5
40,idnes.cz,8,24.0,0,0.0,0,3,0.375
41,elconfidencial.com,18,60.30376252379817,0,0.0,0,4,0.4444444444444444
42,drive2.ru,9,26.529325012980813,1,0.1111111111111111,1,2,0.5555555555555556
43,allegro.pl,10,28.46439344671015,0,0.0,0,2,0.7
44,tutorialspoint.com,18,63.54887502163471,0,0.0,0,3,0.5
45,slack.com,9,26.529325012980813,0,0.0,0,2,0.5555555555555556
46,mi.com,6,13.509775004326936,0,0.0,0,1,0.8333333333333334
47,mmo-champion.com,16,49.24511249783653,0,0.0,0,3,0.5
48,xhamster.com,12,41.01955000865388,0,0.0,0,3,0.5833333333333334
49,protect-your-privacy.net,24,88.52932501298085,0,0.0,0,4,0.2916666666666667
50,google.com.cu,13,37.35082883367073,0,0.0,0,2,0.6923076923076923
51,ftchinese.com,13,44.105716335834195,0,0.0,0,3,0.5384615384615384
52,watchseries.do,14,49.30296890880647,0,0.0,0,3,0.42857142857142855
53,bootcss.com,11,29.298860302846798,0,0.0,0,3,0.36363636363636365
54,wikimedia.org,13,43.350828833670725,0,0.0,0,2,0.6923076923076923
55,hdzog.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
56,chsi.com.cn,11,31.298860302846798,0,0.0,0,3,0.36363636363636365
57,trulia.com,10,33.219280948873624,0,0.0,0,2,0.6
58,panipuri.com,12,39.01955000865388,0,0.0,0,3,0.3333333333333333
