,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy
0,lofter.com,7,388,0,0.8982265179691366,0.44521259028255744
1,uw0.xyz,1,1,0,0.0,0.0
2,f3322.org,1,1,0,0.0,0.0
3,maccms.net,1,1,7,0.0,0.0
4,cctianhong.com,1,1,0,0.0,0.0
5,upantool.com,53,2,100,0.49611895302706654,1.0
6,testupdate.info,1,1,0,0.0,0.0
7,yy6080.cn,2,3,0,1.0,0.579380164285695
8,heinote.com,4,1,98,0.5,0.0
9,ohsoft.net,1,0,0,0.0,0.0
10,wxbgf.top,5,2,0,0.5904362833084089,0.0
11,12349.net,4,5,33,0.75,0.8277293767706428
12,iphy.ac.cn,5,12,1,0.0,0.49670592904742633
13,xyimg.net,11,3,106,0.8224908743082042,0.579380164285695
14,geilicdn.com,11,1,52,0.6122619097133767,0.0
15,xuanwu88.com,16,4,0,0.22400955813363937,0.75
16,win8.net,1,1,0,0.0,0.0
17,dj134.com,1,1,4,0.0,0.0
18,gldjc.com,5,7,15,1.0,0.8982265179691366
19,6m5m.com,1,1,0,0.0,0.0
20,kkkkkdajlhlkjhsdewgtuv.com,1,1,0,0.0,0.0
21,wn51.com,23,21,164,0.7922987249932482,0.6018041284157394
22,weico.cc,51,5,166,0.5239808386293308,0.6554587535412855
23,aliyuncs.com,881,34,210,0.5511995071234491,0.711423549370391
24,glzip.cn,5,1,112,0.6554587535412855,0.0
25,apxadtracking.net,8,2,0,0.5162649802317995,0.0
26,sdg-china.com,18,3,168,0.8401250222879124,0.9999999999999999
27,toutiaoyule.com,10,3,0,0.7364516253185087,0.9999999999999999
28,fwxgx.com,18,9,110,0.6867812704305863,0.6666666666666666
29,zhouyi.cc,1,1,0,0.0,0.0
30,pornhub.com,2,3,0,0.0,0.9999999999999999
31,legu.cc,4,7,5,0.75,0.656265789089031
32,woaoo.net,1,6,0,0.0,0.6934264036172707
33,jiuyan.info,13,9,90,0.7089742952321173,0.42639624424502026
34,liqucn.com,12,10,50,0.2561521449303204,0.8795880017344074
35,omsk.ru,1,1,0,0.0,0.0
36,tsdm.me,1,1,0,0.0,0.0
37,cncrk.com,8,5,81,1.0,1.0
38,000webhostapp.com,8,1,0,0.0,0.0
39,tripod.com,1,2,0,0.0,1.0
40,epicgames.com,8,2,0,0.9166666666666666,1.0
41,jianbaimei.com,3,1,0,0.0,0.0
42,hopto.org,2,2,0,1.0,1.0
43,skynetcloud.tk,1,0,0,0.0,0.0
44,51wady.com,1,1,0,0.0,0.0
45,mininova.org,1,1,0,0.0,0.0
46,bangwo8.net,5,1,0,0.31091750708257115,0.0
47,biquge.info,5,2,23,1.0,1.0
